Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	RA	43	47/2	47/4	47/7	56	57	58	59	Notes
Western-and-Wales	0752	1	GW300	ABW	Abbotswood Jn – Norton Jn	0	00	0	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	2	GW300	OWW	Norton Jn – Shrub Hill Jn	117	26	120	46	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	3	GW300	OWW	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	4	GW300	STO	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	5	GW310	OWW	Wolvercot Jn – Norton Jn	66	32	117	26	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	6	GW317	OWW	"Honeybourne Stratford Line Junction –
Start of branch mileage"	102	06	101	31	7	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	7	GW317	STD	"Start of branch mileage – Long
Marston"	0	00	2	70	7	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	8	GW340	WAH	"Shrub Hill Jn – Henwick SB (Branch
Single)"	120	46	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	9	GW340	WAH	Henwick SB – Shelwick Jn	120	46	148	11	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	10	GW350	BLW	"Worcester Tunnel Jn – Site of former
Rainbow Hill Jn Change of ELR"	0	30	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	11	GW350	WAH	"Site of former Rainbow Hill Jn Change
of ELR – Henwick SB (Droitwich
Single)"	120	64	121	65	7	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	12	GW370	OWW	"Droitwich Spa – Route Boundary
(MD430) (Kidderminster)"	126	21	130	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	13	GW401	BAG2	"Route Boundary (MD306) (Ashchurch)
– Gloucester Barnwood Jn (Change of
ELR)"	77	40	92	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	14	GW401	CHL	"Gloucester Barnwood Jn (Change of
ELR) – Gloucester Yard Jn (Change
of ELR)"	92	21	93	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	15	GW401	BGL1	"Gloucester Yard Jn (Change of ELR)
– Change of ELR"	93	08	94	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	16	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	17	GW401	BGL2	"Standish Jn – Yate South Jn (Change
of ELR)"	99	69	120	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	18	GW401	YAT	"Yate South Jn (Change of ELR) –
Westerleigh Jn"	120	03	121	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	19	GW425	"SAW/
SSS"	"Berkeley Road Jn – Sharpness
(Network Rail Boundary)"	0	04	3	69	6	N	Y	N	Y	N	Y	N	N	
Western-and-Wales	0752	20	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	8	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	21	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	8	N	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	22	GW450	FEC	"Stoke Gifford Jn No.1 – Change of
ELR"	111	79	113	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	23	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	8	Y	Y	Y	Y	Y	Y	Y	Y	
Western-and-Wales	0752	24	GW4501	AFR	"Stoke Gifford Jn No.2 – Hallen Marsh
Jn (Change of ELR)"	112	05	118	42	7	Y	Y	Y	Y	Y	Y	Y	Y	
